,Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
213,British Virgin Islands,Americas,7305,24159.142999999996,0,0.0,0,64,211.66099999999997,0,0.0,0
214,Cook Islands,Western Pacific,7137,40634.252,0,0.0,0,2,11.387,0,0.0,0
215,Saint Kitts and Nevis,Americas,6602,12411.641000000001,0,0.0,0,46,86.479,0,0.0,0
216,Turks and Caicos Islands,Americas,6588,17015.342,0,0.0,0,38,98.146,0,0.0,0
217,Sao Tome and Principe,Africa,6587,3005.58,0,0.0,0,80,36.503,0,0.0,0
218,Palau,Western Pacific,6011,33224.63,0,0.0,0,9,49.746,0,0.0,0
219,Saint Barthélemy,Americas,5494,55579.16,0,0.0,0,5,50.582,0,0.0,0
220,Nauru,Western Pacific,5393,49778.475,0,0.0,0,1,9.23,0,0.0,0
221,Kiribati,Western Pacific,5037,4216.862,0,0.0,0,24,20.092,0,0.0,0
222,Anguilla,Americas,3904,26023.197,0,0.0,0,12,79.98899999999999,0,0.0,0
223,Wallis and Futuna,Western Pacific,3550,31566.779,0,0.0,0,8,71.13600000000001,0,0.0,0
224,Saint Pierre and Miquelon,Americas,3426,59119.931,0,0.0,0,2,34.513000000000005,0,0.0,0
225,Tuvalu,Western Pacific,2911,24686.228,0,0.0,0,0,0.0,0,0.0,0
226,"Saint Helena, Ascension and Tristan da Cunha",Africa,2166,35677.812999999995,0,0.0,0,0,0.0,0,0.0,0
227,Falkland Islands (Malvinas),Americas,1923,55211.025,0,0.0,0,0,0.0,0,0.0,0
228,Montserrat,Americas,1403,28065.612999999998,0,0.0,0,8,160.032,0,0.0,0
229,Sint Eustatius,Americas,1220,38865.881,0,0.0,0,6,191.144,0,0.0,0
230,Saba,Americas,837,43300.569,0,0.0,0,2,103.46600000000001,0,0.0,0
231,Niue,Western Pacific,820,50679.852,3,185.41400000000002,0,0,0.0,0,0.0,0
232,Other,Other,764,,0,,0,13,,0,,0
233,Holy See,Europe,26,3213.844,0,0.0,0,0,0.0,0,0.0,0
234,Tokelau,Western Pacific,5,370.37,0,0.0,0,0,0.0,0,0.0,0
235,Pitcairn Islands,Western Pacific,4,8000.0,0,0.0,0,0,0.0,0,0.0,0
236,Democratic People's Republic of Korea,South-East Asia,0,0.0,0,0.0,0,0,0.0,0,0.0,0
237,Turkmenistan,Europe,0,0.0,0,0.0,0,0,0.0,0,0.0,0
