,COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
106,Jordan,JOR,EMRO,REPORTING,2022-08-21,10057975.0,4821579,98.57700000000001,47.256,4558313,44.676,,2021-01-13,10.0,682211.0,6.686
107,Kazakhstan,KAZ,EURO,REPORTING,2023-03-26,33732027.0,12385925,179.6,65.964,13067200,69.593,,2021-04-07,5.0,6756767.0,35.985
108,Kenya,KEN,AFRO,REPORTING,2023-04-02,23750431.0,14494372,44.169,26.956,11090440,20.625,,2021-03-05,5.0,2000636.0,3.721
109,Kiribati,KIR,WPRO,REPORTING,2023-02-06,219980.0,100900,184.162,84.471,81474,68.208,,2021-05-26,2.0,37606.0,31.483
110,Kosovo,XKX,EURO,REPORTING,2023-01-15,1836901.0,904558,102.3,50.375,824752,45.93,,2021-03-31,2.0,105624.0,5.882000000000001
111,Kuwait,KWT,EMRO,REPORTING,2023-06-13,8260485.0,3457124,193.428,80.952,3345838,78.346,,2020-12-28,10.0,1457523.0,34.129
112,Kyrgyzstan,KGZ,EURO,REPORTING,2023-04-16,3111072.0,1508959,47.7,23.129,1326178,20.327,,2021-03-31,6.0,275935.0,4.229
113,Lao People's Democratic Republic,LAO,WPRO,REPORTING,2023-05-21,13879410.0,6324678,190.768,86.93,5691962,78.234,,2020-11-25,8.0,2451034.0,33.689
114,Latvia,LVA,EURO,REPORTING,2023-05-14,2978080.0,1344301,156.1,70.468,1304678,68.391,,2020-12-30,9.0,550533.0,28.859
115,Lebanon,LBN,EMRO,REPORTING,2022-12-22,5814699.0,2740227,85.19200000000001,40.147,2414223,35.371,,2021-02-14,10.0,660249.0,9.673
116,Lesotho,LSO,AFRO,REPORTING,2023-03-19,1339097.0,1014073,62.50899999999999,47.336999999999996,938088,43.79,,2021-03-10,3.0,177816.0,8.3
117,Liberia,LBR,AFRO,REPORTING,2022-12-11,4460668.0,3903802,88.196,77.186,3730967,73.768,,2021-04-01,1.0,1987.0,0.039
118,Libya,LBY,EMRO,REPORTING,2023-01-16,3739158.0,2316327,54.417,33.71,1236102,17.989,,2021-04-11,10.0,186729.0,2.718
119,Liechtenstein,LIE,OTHER,REPORTING,2022-04-10,71104.0,26681,183.5,68.86,26346,67.995,,2021-01-06,3.0,18310.0,47.255
120,Lithuania,LTU,EURO,REPORTING,2023-05-14,4532276.0,1956451,162.2,70.175,1907015,68.252,,2020-12-23,5.0,902024.0,32.283
121,Luxembourg,LUX,EURO,REPORTING,2023-05-14,1337742.0,469267,213.7,74.95,462709,73.902,,2020-12-30,8.0,368474.0,58.852
122,Madagascar,MDG,AFRO,REPORTING,2023-05-21,2973152.0,2580188,10.737,9.318,2519918,9.1,,2021-05-10,3.0,156776.0,0.5660000000000001
123,Malawi,MWI,AFRO,REPORTING,2023-05-21,8168028.0,5234809,42.698,27.364,4092667,21.394000000000002,,2021-03-11,2.0,1106940.0,5.7860000000000005
124,Malaysia,MYS,WPRO,REPORTING,2023-06-04,72628221.0,28137456,224.39700000000002,86.935,27550446,85.12200000000001,,2021-02-24,8.0,16336757.0,50.475
125,Maldives,MDV,SEARO,REPORTING,2023-05-25,951764.0,399308,176.075,73.872,385167,71.255,,2021-02-01,8.0,167289.0,30.948
126,Mali,MLI,AFRO,REPORTING,2023-05-14,5922585.0,4354292,29.246,21.502,3633589,17.942999999999998,,2021-03-31,1.0,,
127,Malta,MLT,EURO,REPORTING,2023-05-14,1280134.0,450522,248.8,87.554,444899,86.461,,2020-12-23,4.0,352628.0,68.529
128,Marshall Islands,MHL,WPRO,REPORTING,2023-03-24,110742.0,47077,187.083,79.53,40689,68.738,,2020-12-29,3.0,18559.0,31.353
